"","RNA1.1.t0.rep2","RNA1.1.t5.rep2","RNA1.1.t10.rep2","RNA1.1.t20.rep2"
"YMR192W",158,103,35,17
"YMR193W",140,56,7,6
"YMR194W",7775,5129,1118,404
"YMR195W",101,38,26,14
"YMR196W",60,67,27,41
"YMR199W",197,67,25,25
"YMR200W",118,79,55,16
"YMR202W",2042,1715,581,352
"YMR203W",427,303,117,48
"YMR208W",660,517,178,53
"YMR210W",289,171,23,21
"YMR211W",69,46,29,22
"YMR213W",85,28,15,12
"YMR214W",296,206,68,33
"YMR215W",271,235,95,41
"YMR217W",2186,1967,673,451
"YMR219W",254,120,47,35
"YMR220W",743,541,96,61
"YMR228W",63,22,12,5
"YMR230W",3905,3783,1616,1346
"YMR230W-A",197,139,65,38
"YMR231W",52,47,44,18
"YMR232W",41,98,81,34
"YMR233W",82,38,15,12
"YMR234W",44,50,17,13
"YMR236W",1775,1149,461,270
"YMR237W",314,291,114,52
"YMR238W",300,191,76,26
"YMR241W",783,448,163,101
"YMR246W",819,467,131,60
"YMR250W",16,27,21,26
"YMR251W-A",404,715,370,847
"YMR255W",143,68,41,29
"YMR262W",55,44,22,16
"YMR263W",108,47,13,11
"YMR264W",233,119,47,23
"YMR266W",463,276,74,66
"YMR267W",86,25,8,3
"YMR269W",133,81,23,20
"YMR276W",1171,924,382,103
"YMR277W",338,296,148,148
"YMR278W",105,49,18,14
"YMR281W",33,30,10,4
"YMR284W",53,30,10,9
"YMR286W",132,46,5,11
"YMR288W",230,85,29,25
"YMR289W",97,39,14,9
"YMR291W",62,103,57,67
"YMR292W",225,162,29,13
"YMR297W",491,431,248,176
"YMR298W",380,294,96,43
"YMR304W",393,228,108,72
"YMR307W",4181,2647,965,431
"YMR312W",110,142,38,14
"YMR314W",440,377,143,67
"YMR315W",499,493,211,129
"YMR316W",120,65,30,27
"YNL339C",313,183,87,74
"YNL330C",380,228,88,33
"YNL329C",180,84,40,26
"YNL326C",79,32,16,10
"YNL325C",74,25,20,15
"YNL322C",314,262,41,23
"YNL316C",88,34,19,12
"YNL315C",267,114,30,14
"YNL313C",294,102,29,19
"YNL311C",61,25,12,5
"YNL310C",277,252,105,45
"YNL308C",1245,649,331,220
"YNL307C",94,81,36,20
"YNL305C",130,121,60,42
"YNL302C",5487,4928,1683,1201
"YNL301C",971,692,218,59
"YNL297C",287,160,65,38
"YNL294C",128,60,16,38
"YNL291C",349,130,53,41
"YNL284C-B/YNL284C-A",607,476,230,248
"YNL284C",152,67,15,9
"YNL283C",193,68,20,28
"YNL280C",802,609,191,46
"YNL274C",14,19,5,11
"YNL272C",57,65,31,16
"YNL271C",282,185,70,100
"YNL265C",137,67,24,22
"YNL264C",196,159,62,17
"YNL263C",296,234,49,36
"YNL259C",189,128,30,16
"YNL258C",134,53,14,19
"YNL257C",168,95,35,60
"YNL255C",718,553,172,65
"YNL252C",70,17,2,4
"YNL251C",618,347,140,83
"YNL248C",658,380,78,26
"YNL244C",1581,1183,367,171
"YNL241C",933,679,261,122
"YNL240C",365,138,37,18
"YNL231C",596,421,140,110
"YNL229C",441,232,52,37
"YNL227C",132,94,29,19
"YNL224C",178,107,33,25
"YNL221C",300,59,26,22
"YNL219C",164,101,30,21
"YNL213C",147,41,11,14
"YNL211C",63,25,5,13
"YNL206C/YNL205C/YNL204C",196,131,48,45
"YNL201C",99,43,23,13
"YNL200C",100,110,68,80
"YNL199C/YNL198C",83,35,21,24
"YNL197C",16,15,8,8
"YNL195C",19,15,5,2
"YNL194C",2,4,6,2
"YNL185C/YNL184C",132,65,25,25
"YNL183C",95,130,86,88
"YNL182C",154,36,18,12
"YNL180C",263,144,50,38
"YNL179C",32,64,32,22
"YNL177C",106,46,21,12
"YNL176C",61,67,31,26
"YNL175C",943,682,299,137
"YNL173C",266,269,128,62
"YNL169C",335,143,30,39
"YNL168C",166,147,58,34
"YNL167C",107,90,52,68
"YNL166C",595,435,120,34
"YNL164C",115,40,38,7
"YNL163C",120,76,19,17
"YNL159C",27,19,14,8
"YNL156C",195,121,42,44
"YNL154C",307,167,59,70
"YNL153C",789,376,105,38
"YNL151C",1228,527,82,60
"YNL149C",735,504,242,122
"YNL148C",143,107,31,21
"YNL146C-A",63,22,11,10
"YNL144C",35,58,54,15
"YNL140C/YNL139C",146,69,30,13
"YNL137C",164,92,25,19
"YNL135C",11923,11742,6437,5493
"YNL134C",225,244,106,60
"YNL133C",76,39,5,6
"YNL130C",284,210,81,26
"YNL125C",69,105,67,58
"YNL122C",142,66,23,14
"YNL121C",190,121,51,57
"YNL118C",355,155,59,54
"YNL115C",120,58,12,15
"YNL111C",208,96,11,17
"YNL110C",533,281,45,18
"YNL108C",79,91,23,15
"YNL106C",71,45,31,22
"YNL104C",739,706,258,144
"YNL099C",308,208,103,64
"YNL098C",634,518,161,77
"YNL097C",120,82,22,19
"YNL096C",2448,2069,736,392
"YNL095C",57,14,4,3
"YNL084C",137,162,59,48
"YNL081C",426,153,35,33
"YNL080C",394,276,80,81
"YNL079C",1558,1428,555,501
"YNL074C",103,79,23,9
"YNL069C",5733,5570,2081,1246
"YNL068C",114,102,32,33
"YNL064C",1497,1740,798,563
"YNL062C",192,85,15,9
"YNL059C",194,122,42,27
"YNL058C",262,200,90,81
"YNL055C",365,303,139,114
"YNL050C",191,93,33,38
"YNL049C",223,119,29,20
"YNL047C",52,27,23,23
"YNL041C",167,98,35,18
"YNL037C",1105,999,303,163
"YNL035C",99,67,26,22
"YNL031C",3472,2477,830,563
"YNL029C",94,51,40,12
"YNL024C-A",946,681,275,146
"YNL024C",93,49,18,13
"YNL023C",97,80,32,25
"YNL022C",132,60,23,12
"YNL020C",41,14,7,10
"YNL011C",70,33,10,12
"YNL008C",262,649,294,357
"YNL007C",1494,1511,600,570
"YNL005C",180,70,26,14
"YNL003C",89,55,33,15
"YNL002C",1660,896,185,29
"YNR001C",269,248,122,94
"YNR002C",4,11,3,2
"YNR003C",298,206,62,13
"YNR011C",104,75,22,17
"YNR013C",364,200,51,20
"YNR016C",545,367,150,102
"YNR020C",144,50,16,14
"YNR022C",212,126,25,9
"YNR025C",161,83,14,17
"YNR029C",135,54,14,8
"YNR031C",684,178,92,95
"YNR032C-A",159,118,53,18
"YNR035C",538,475,281,165
"YNR036C",141,82,58,17
"YNR037C",261,144,24,11
"YNR039C",272,67,5,9
"YNR041C",83,16,10,12
"YNR049C",176,107,24,27
"YNR050C",736,659,310,149
"YNR051C",171,111,78,62
"YNR052C",473,205,83,55
"YNR053C",1526,310,102,89
"YNR054C",313,189,48,16
"YNR055C",192,91,51,40
"YNR061C",126,75,35,15
"YNR065C",126,124,109,74
"YNR067C",321,240,114,106
"YNR068C",15,27,7,22
"YNR069C",14,25,25,27
"YNR074C",107,53,15,15
"YNL336W",251,206,50,28
"YNL327W",232,101,31,9
"YNL323W",119,67,15,7
"YNL321W",516,393,104,139
"YNL320W",82,39,8,6
"YNL317W",87,34,9,7
"YNL314W",47,32,8,8
"YNL312W",244,181,65,17
"YNL309W",78,30,7,10
"YNL306W",304,167,45,56
"YNL304W/YNL303W",124,69,29,24
"YNL300W",495,352,167,110
"YNL299W",83,28,11,7
"YNL298W",84,79,22,25
"YNL295W",50,22,5,11
"YNL293W",54,16,8,5
"YNL292W",153,100,14,12
"YNL290W",525,357,103,43
"YNL289W",232,47,12,8
"YNL288W",179,103,36,40
"YNL287W",617,442,123,79
"YNL286W",131,106,59,46
"YNL281W",2397,2102,976,679
"YNL278W",67,43,16,19
"YNL277W",70,24,1,5
"YNL275W",150,39,13,23
"YNL273W",80,37,13,7
"YNL268W",1651,606,179,194
"YNL267W",190,99,63,21
"YNL262W",310,106,70,55
"YNL261W",199,99,32,32
"YNL256W",453,218,85,48
"YNL247W",232,174,63,49
"YNL246W",227,207,106,99
"YNL243W",273,193,65,51
"YNL242W",93,68,47,38
"YNL239W",712,590,245,184
"YNL238W",214,78,28,20
"YNL237W",11,5,13,6
"YNL236W",159,83,17,9
"YNL234W",85,29,28,17
"YNL233W",96,43,28,17
"YNL232W",609,343,96,73
"YNL223W",75,31,13,8
"YNL222W",95,43,22,11
"YNL220W",409,337,115,34
"YNL218W",80,33,10,11
"YNL217W",216,119,29,30
"YNL216W",83,63,15,27
"YNL215W",313,216,99,94
"YNL212W",103,53,25,25
"YNL209W",4477,3477,1405,579
"YNL208W",1194,1229,673,581
"YNL207W",266,121,20,10
"YNL193W",137,140,70,54
"YNL192W",201,99,32,26
"YNL191W",234,142,66,63
"YNL190W",26,31,26,15
"YNL189W",320,273,108,76
"YNL186W",316,186,68,63
"YNL181W",174,113,23,9
"YNL178W",17482,14700,5197,2374
"YNL170W",74,22,16,10
"YNL165W",106,45,12,12
"YNL162W",1685,1602,667,457
"YNL161W",56,34,20,13
"YNL160W",289,242,107,104
"YNL157W",262,165,61,66
"YNL155W",413,241,66,92
"YNL152W",68,29,17,25
"YNL147W",209,149,32,14
"YNL145W",6208,3785,830,426
"YNL142W",45,61,22,16
"YNL141W",696,275,32,9
"YNL138W-A",143,87,33,13
"YNL138W",270,260,111,67
"YNL136W",170,84,29,24
"YNL132W",432,238,86,47
"YNL131W",203,161,62,28
"YNL129W",80,54,14,14
"YNL127W",261,128,60,42
"YNL126W",98,33,28,20
"YNL124W",169,67,23,15
"YNL123W",414,232,84,36
"YNL119W",191,37,11,4
"YNL116W",78,92,16,9
"YNL113W",1259,696,160,76
"YNL112W",1635,852,264,93
"YNL107W",56,16,5,5
"YNL103W",136,102,62,103
"YNL102W",224,120,43,16
"YNL101W",229,119,68,53
"YNL100W",130,51,15,21
"YNL094W",421,226,115,110
"YNL092W",22,18,14,14
"YNL091W",703,488,284,275
"YNL090W",94,58,12,12
"YNL088W",854,598,403,364
"YNL087W",337,234,78,96
"YNL086W",87,68,31,9
"YNL085W",307,198,101,69
"YNL082W",50,33,8,14
"YNL078W",446,131,57,38
"YNL077W",44,84,39,66
"YNL076W",105,147,91,88
"YNL075W",414,175,49,36
"YNL073W",180,213,126,104
"YNL072W",125,97,69,45
"YNL071W",468,453,282,177
"YNL070W",635,467,133,49
"YNL067W",4059,2836,1386,396
"YNL066W",1193,410,150,160
"YNL065W",115,10,7,3
"YNL063W",84,56,35,37
"YNL061W",361,183,70,42
"YNL056W",312,103,16,22
"YNL054W-A",202,188,81,73
"YNL054W",62,26,12,12
"YNL053W",233,40,14,6
"YNL052W",278,165,46,21
"YNL051W",96,39,17,4
"YNL048W",67,40,16,13
"YNL046W",74,35,16,13
"YNL045W",350,323,111,52
"YNL044W",403,265,68,33
"YNL042W-B",114,351,229,156
"YNL042W",203,116,37,37
"YNL040W",64,59,20,7
"YNL039W",146,88,25,29
"YNL038W",66,39,16,12
"YNL036W",961,759,170,93
"YNL032W",58,26,10,5
"YNL030W",2449,1501,385,270
"YNL027W",81,47,19,29
"YNL026W",325,230,98,40
"YNL016W",816,590,312,271
"YNL015W",10,25,15,8
"YNL014W",37,55,31,28
"YNL012W",27,9,6,7
"YNL010W",873,694,300,130
"YNL006W",184,224,153,107
"YNL004W",319,157,68,57
"YNL001W",370,132,30,12
"YNR006W",79,86,17,36
"YNR008W",188,105,31,13
"YNR009W",119,39,7,17
"YNR010W",49,52,13,19
"YNR012W",174,104,37,27
"YNR014W",29,55,42,44
"YNR015W",188,134,34,72
"YNR017W",818,503,165,85
"YNR018W",817,602,130,27
"YNR019W",85,85,45,30
"YNR021W",1018,712,259,86
"YNR023W",138,71,31,36
"YNR024W",138,90,11,7
"YNR027W",85,47,33,22
"YNR028W",272,137,29,15
"YNR030W",232,160,73,32
"YNR032W",216,40,23,14
"YNR033W",149,80,24,13
"YNR034W",65,85,42,52
"YNR034W-A",14,12,4,8
"YNR038W",116,47,18,15
"YNR040W",96,34,7,7
"YNR043W",1137,854,395,158
"YNR044W",147,99,25,22
"YNR045W",50,18,11,14
"YNR046W",810,529,159,63
"YNR047W",71,64,41,67
"YNR059W",32,11,7,7
"YNR060W",344,150,37,17
"YOL159C",110,81,34,14
"YOL158C",451,209,75,26
"YOL155C",19,8,19,4
"YOL148C",79,57,24,31
"YOL147C",444,342,116,31
"YOL145C",84,57,16,14
"YOL143C",1278,1057,454,311
"YOL139C",1184,869,219,90
"YOL138C",765,553,235,205
"YOL135C",209,129,12,14
"YOL128C",148,49,21,12
"YOL126C",411,110,52,14
"YOL124C",218,92,20,10
"YOL122C",101,62,32,7
"YOL121C",2322,2323,792,681
"YOL120C",14881,11489,6025,3774
"YOL119C",122,71,54,55
"YOL111C",387,281,151,74
"YOL108C",75,31,13,12
"YOL105C",105,56,25,18
"YOL102C",123,88,27,16
"YOL101C",11,10,6,3
"YOL099C",70,31,19,18
"YOL098C",167,99,35,16
"YOL097C",2028,1704,697,300
"YOL096C",26,27,12,12
"YOL094C",171,88,14,7
"YOL088C",948,529,196,48
"YOL087C",135,69,24,24
"YOL086C",14814,13232,4365,2366
"YOL080C",197,52,14,1
"YOL077C",804,373,44,30
"YOL073C",195,74,9,15
"YOL070C",127,84,23,20
"YOL068C",186,103,52,59
"YOL066C",109,65,25,13
"YOL065C",41,15,0,1
"YOL064C",101,88,29,8
"YOL063C",143,65,29,25
"YOL062C",252,72,14,13
"YOL060C",146,91,52,26
"YOL055C",56,35,12,6
"YOL052C-A",27,26,12,17
"YOL052C",333,304,94,43
"YOL048C",64,18,9,5
"YOL041C",564,402,125,133
"YOL040C",9435,8479,3353,2816
"YOL031C",88,71,34,19
"YOL029C",33,71,29,39
"YOL027C",823,348,145,134
"YOL026C",642,436,211,137
"YOL022C",245,198,63,70
"YOL021C",704,298,69,52
"YOL018C",51,23,10,9
"YOL016C",72,58,28,38
"YOL013C",112,76,34,16
"YOL012C",688,368,96,52
"YOL006C",309,208,104,73
"YOL005C",1223,874,369,120
"YOL003C",79,56,17,4
"YOL002C",445,183,48,22
"YOR005C",55,107,56,50
"YOR006C",264,101,27,23
"YOR007C",2314,2089,953,612
"YOR008C",117,54,34,18
"YOR010C",65,63,21,18
"YOR016C",454,263,72,25
"YOR020C",1420,1470,556,235
"YOR021C",375,294,116,40
"YOR022C",53,18,14,17
"YOR023C",101,140,62,81
"YOR028C",16,27,10,13
"YOR033C",119,59,33,22
"YOR034C",64,29,24,20
"YOR034C-A",73,44,5,13
"YOR046C",544,533,187,119
"YOR047C",335,213,83,97
"YOR048C",237,144,69,31
"YOR051C",645,564,218,134
"YOR052C",204,224,90,107
"YOR054C",175,185,74,88
"YOR056C",693,317,75,55
"YOR059C",87,81,36,17
"YOR062C",28,43,16,12
"YOR064C",59,15,8,7
"YOR067C",187,141,18,20
"YOR070C",88,28,13,15
"YOR071C",130,76,41,21
"YOR074C",119,111,38,12
"YOR076C",222,102,26,31
"YOR081C",237,138,29,13
"YOR086C",430,229,87,82
"YOR089C",542,250,69,48
"YOR090C",158,80,36,17
"YOR093C",129,85,38,27
"YOR095C",316,220,95,41
"YOR097C",153,46,21,9
"YOR098C",324,180,61,51
"YOR103C",291,275,80,34
"YOR115C",189,110,35,11
"YOR116C",268,74,26,27
"YOR119C",286,117,71,37
"YOR121C",194,218,92,53
"YOR122C",2060,1927,983,669
"YOR123C",170,143,44,33
"YOR124C",95,70,39,25
"YOR125C",51,36,10,10
"YOR126C",118,81,18,9
"YOR128C",98,87,11,14
"YOR130C",101,38,22,8
"YOR131C",117,68,20,7
"YOR137C",37,43,17,25
"YOR138C",150,70,19,12
"YOR141C",88,80,29,14
"YOR143C",157,27,6,5
"YOR145C",696,215,42,16
"YOR148C",158,87,32,29
"YOR151C",340,162,75,38
"YOR152C",26,24,17,7
"YOR155C",110,47,21,10
"YOR157C",568,321,112,29
"YOR159C",92,44,13,6
"YOR161C",36,57,32,21
"YOR162C",92,53,35,43
"YOR164C",295,267,114,64
"YOR166C",80,85,27,28
"YOR167C",7333,7595,3148,2642
"YOR171C",104,47,16,16
"YOR175C",228,154,55,26
"YOR178C",0,7,7,10
"YOR179C",42,33,20,7
"YOR182C",6466,6475,2514,1420
"YOR185C",74,88,43,51
"YOR192C-C",219,176,79,80
"YOR192C-B/YOR192C-A",118,87,41,31
"YOR194C",394,131,24,16
"YOR196C",77,27,13,5
"YOR198C",940,737,268,116
"YOR201C",131,46,26,12
"YOR205C",92,28,18,11
"YOR207C",595,307,120,63
"YOR209C",796,539,182,93
"YOR211C",189,89,29,35
"YOR215C",198,182,69,50
"YOR216C",226,139,52,31
"YOR218C",49,47,17,25
"YOR219C",57,37,18,18
"YOR221C",123,115,29,37
"YOR224C",3126,2096,771,460
"YOR226C",1456,365,54,58
"YOR228C",29,31,10,5
"YOR234C",3385,2623,813,386
"YOR243C",512,173,35,18
"YOR245C",92,39,11,9
"YOR246C",406,194,63,52
"YOR249C",47,22,10,6
"YOR250C",115,66,18,5
"YOR251C",224,189,63,15
"YOR254C",286,152,51,56
"YOR256C",105,46,19,17
"YOR259C",307,296,105,55
"YOR261C",276,251,61,17
"YOR267C",158,277,114,207
"YOR270C",892,632,193,77
"YOR271C",955,806,243,118
"YOR273C",242,255,111,93
"YOR275C",197,123,59,80
"YOR279C",109,16,3,1
"YOR280C",290,228,90,33
"YOR281C",317,262,69,29
"YOR287C",122,39,4,0
"YOR288C",190,156,78,30
"YOR290C",301,161,63,61
"YOR292C",103,44,14,12
"YOR297C",254,88,13,10
"YOR298C-A",803,752,234,156
"YOR306C",90,85,92,73
"YOR307C",178,74,35,29
"YOR309C/YOR310C",4190,2725,1382,1065
"YOR311C",413,242,112,81
"YOR312C",13076,11552,4350,2222
"YOR316C",276,196,53,49
"YOR318C",107,90,38,35
"YOR320C",201,79,39,11
"YOR322C",159,48,45,23
"YOR323C",847,625,279,167
"YOR324C",67,29,19,16
"YOR327C",476,338,90,51
"YOR329C",71,77,39,18
"YOR330C",96,49,17,11
"YOR335C",568,329,98,38
"YOR340C",388,188,19,11
"YOR342C",295,110,55,43
"YOR344C",104,153,105,43
"YOR347C",30,35,34,31
"YOR348C",24,18,14,7
"YOR350C",49,24,8,3
"YOR354C",238,182,76,162
"YOR357C",101,71,19,16
"YOR360C",60,134,92,106
"YOR361C",992,767,271,134
"YOR362C",914,658,248,94
"YOR365C",8,71,47,26
"YOR369C",31229,27498,10561,8245
"YOR370C",409,216,75,77
"YOR371C",89,92,81,49
"YOR375C",1755,1585,705,490
"YOR383C",1557,1414,656,572
"YOL164W",154,45,13,14
"YOL152W",163,49,28,34
"YOL151W",70,97,34,26
"YOL149W",36,23,7,12
"YOL146W",126,81,18,10
"YOL144W",241,115,25,13
"YOL142W",260,146,28,9
"YOL140W",75,50,26,23
"YOL137W",207,92,31,16
"YOL133W",49,44,17,22
"YOL129W",737,579,191,68
"YOL127W",2523,2586,882,729
"YOL125W",184,112,44,36
"YOL123W",746,1060,408,523
"YOL117W",21,14,12,10
"YOL116W",41,34,21,25
"YOL115W",119,61,11,11
"YOL113W",40,43,39,61
"YOL112W",288,114,47,23
"YOL110W",60,48,30,10
"YOL109W",3280,2708,555,178
"YOL107W",112,65,19,12
"YOL103W-B/YOL103W-A",1114,833,475,448
"YOL103W",1533,927,422,452
"YOL100W",151,71,31,33
"YOL097W-A",67,40,15,11
"YOL093W",343,146,67,41
"YOL092W",281,196,46,9
"YOL091W",6,59,22,20
"YOL090W",212,142,30,24
"YOL086W-A",81,49,30,38
"YOL084W",8,4,8,2
"YOL082W",63,39,13,24
"YOL081W",377,506,364,232
"YOL079W",3,56,57,16
"YOL078W",86,46,40,17
"YOL077W-A",380,242,48,41
"YOL076W",182,77,23,11
"YOL072W",114,60,15,13
"YOL071W",71,61,14,6
"YOL069W",57,23,2,10
"YOL061W",1314,612,143,50
"YOL059W",456,284,85,72
"YOL058W",213,128,66,17
"YOL057W",275,232,78,36
"YOL056W",111,86,18,31
"YOL054W",112,43,15,5
"YOL053W",55,19,1,7
"YOL051W",163,175,76,107
"YOL049W",305,264,113,47
"YOL045W",65,28,17,12
"YOL044W",77,35,14,12
"YOL039W",9187,9274,3135,2330
"YOL038W",641,493,144,68
"YOL036W",165,182,91,124
"YOL034W",56,19,9,6
"YOL033W",70,25,6,3
"YOL032W",76,99,29,27
"YOL030W",817,615,206,114
"YOL025W",58,17,12,6
"YOL020W",316,146,73,44
"YOL019W",266,42,10,6
"YOL014W",112,24,10,11
"YOL013W-A",171,389,259,225
"YOL011W",156,56,35,33
"YOL010W",195,100,43,55
"YOL008W",114,58,16,2
"YOL004W",975,326,176,183
"YOR001W",457,135,50,17
"YOR002W",1697,911,257,110
"YOR003W",90,66,37,24
"YOR004W",538,216,60,34
"YOR011W",94,65,28,16
"YOR012W/YOR013W",52,46,21,10
"YOR015W",315,169,79,64
"YOR017W",44,39,7,17
"YOR018W",53,28,23,10
"YOR019W",23,16,16,5
"YOR020W-A",55,46,17,7
"YOR025W",160,48,14,10
"YOR026W",176,154,60,59
"YOR027W",1311,1820,826,791
"YOR031W",194,113,55,38
"YOR036W",59,30,7,3
"YOR037W",59,29,14,11
"YOR039W",423,258,84,52
"YOR042W",647,455,185,94
"YOR043W",331,133,45,62
"YOR045W",991,493,122,65
"YOR053W",65,49,21,14
"YOR057W",172,83,28,21
"YOR061W",678,376,217,236
"YOR063W",23920,10601,2002,628
"YOR065W",32,32,21,20
"YOR066W",58,5,7,4
"YOR069W",111,55,11,14
"YOR072W-B",185,585,369,290
"YOR075W",57,27,5,7
"YOR078W",417,114,16,15
"YOR080W",56,33,25,18
"YOR084W",194,68,37,23
"YOR085W",676,551,141,47
"YOR087W",90,70,10,18
"YOR091W",1280,899,323,180
"YOR092W",49,51,14,9
"YOR094W",105,36,9,2
"YOR096W",3857,2707,976,594
"YOR099W",568,387,120,85
"YOR101W",412,158,49,15
"YOR102W",68,26,11,4
"YOR106W",113,71,17,23
"YOR108W",484,379,154,58
"YOR109W",352,191,64,67
"YOR110W",107,75,7,13
"YOR112W",210,97,30,15
"YOR117W",802,417,145,66
"YOR118W",96,63,35,20
"YOR120W",52,12,11,11
"YOR127W",83,46,24,33
"YOR132W",123,94,26,30
"YOR133W",4224,3331,1324,663
"YOR136W",2920,2733,1019,645
"YOR142W",248,194,50,50
"YOR142W-B/YOR142W-A",537,452,253,203
"YOR147W",64,54,24,23
"YOR150W",219,112,23,29
"YOR153W",1413,510,115,127
"YOR154W",114,120,35,34
"YOR158W",333,127,41,37
"YOR160W",74,51,8,15
"YOR163W",165,91,33,11
"YOR165W",198,84,27,12
"YOR168W",439,370,76,43
"YOR172W",145,55,39,35
"YOR173W",30,47,23,23
"YOR174W",58,30,7,13
"YOR176W",148,160,36,20
"YOR181W",154,111,44,49
"YOR184W",541,403,150,46
"YOR187W",360,252,83,37
"YOR188W",504,169,76,50
"YOR189W",215,115,42,18
"YOR191W",73,67,35,17
"YOR193W",65,26,8,15
"YOR195W",85,33,15,13
"YOR197W",707,576,193,79
"YOR202W/YOR203W/YOR204W",361,334,142,57
"YOR206W",341,162,58,37
"YOR208W",88,89,35,90
"YOR210W",460,395,151,85
"YOR212W",626,127,15,17
"YOR217W",242,138,31,26
"YOR220W",88,110,44,41
"YOR222W",582,439,241,113
"YOR223W",40,25,9,17
"YOR227W",74,95,61,42
"YOR229W",88,61,21,15
"YOR230W",693,825,374,225
"YOR231W",119,112,33,43
"YOR232W",356,189,27,12
"YOR233W",57,60,19,19
"YOR235W",53,67,44,23
"YOR236W",1316,706,123,43
"YOR238W",91,42,24,19
"YOR239W",413,301,91,36
"YOR241W",209,102,28,27
"YOR244W",118,52,13,18
"YOR247W/YOR248W",1918,1550,552,457
"YOR252W",204,85,13,6
"YOR253W",178,143,71,20
"YOR257W",138,85,9,6
"YOR260W",716,365,55,27
"YOR262W",92,37,22,9
"YOR264W",177,62,13,9
"YOR265W",226,239,80,52
"YOR266W",56,88,46,87
"YOR272W",217,148,39,17
"YOR274W",117,37,15,15
"YOR276W",1115,956,399,150
"YOR278W",206,156,60,19
"YOR283W",439,217,48,22
"YOR285W",610,521,223,112
"YOR286W",470,282,84,49
"YOR289W",45,38,29,11
"YOR291W",112,29,29,10
"YOR293W",4472,4008,1822,1180
"YOR294W",592,257,76,19
"YOR295W",67,30,20,10
"YOR296W",120,75,49,17
"YOR299W/YOR300W",269,121,33,52
"YOR301W",57,58,25,15
"YOR303W",255,138,54,45
"YOR304W",139,74,47,22
"YOR305W",79,39,26,26
"YOR317W",257,257,99,68
"YOR321W",168,135,34,10
"YOR326W",875,556,289,284
"YOR332W",8961,8187,3787,2974
"YOR336W",218,122,66,41
"YOR337W",125,30,12,14
"YOR341W",598,329,175,111
"YOR343W-B/YOR343W-A",376,322,155,159
"YOR346W",410,185,91,95
"YOR349W",59,49,23,16
"YOR352W",43,32,9,13
"YOR355W",887,666,239,267
"YOR356W",117,79,56,48
"YOR359W",81,24,14,19
"YOR367W",198,106,42,14
"YOR373W",204,93,39,25
"YOR374W",43,94,44,56
"YOR377W",89,33,12,10
"YOR381W",225,89,28,21
"YOR382W",2709,2397,1154,557
"YOR390W",74,25,6,3
"YOR396W",210,136,74,71
"YPL283C",324,162,95,90
"YPL279C",64,21,13,14
"YPL263C",625,499,266,186
"YPL259C",177,99,36,81
"YPL258C",61,29,18,6
"YPL256C",412,108,29,33
"YPL253C",71,64,91,153
"YPL252C",335,285,183,389
"YPL250C",186,418,151,302
"YPL249C-A",21551,21690,10384,9092
"YPL249C",44,32,16,7
"YPL247C",83,62,26,35
"YPL246C",420,292,50,14
"YPL244C",317,143,70,58
"YPL242C",404,1452,1294,1121
"YPL241C",84,335,200,276
"YPL240C",2088,3775,1967,2003
"YPL236C",35,15,3,8
"YPL234C",946,900,316,106
"YPL227C",128,46,9,6
"YPL224C",24,27,13,10
"YPL217C",314,178,65,35
"YPL214C",89,51,15,11
"YPL212C",374,184,32,50
"YPL210C",435,222,41,18
"YPL206C",76,51,15,10
"YPL199C",233,195,69,11
"YPL192C",62,39,7,19
"YPL190C",189,105,75,75
"YPL189C-A",119,63,24,107
"YPL186C",20,14,11,12
"YPL184C",394,250,107,68
"YPL183C",190,56,19,12
"YPL177C",123,105,44,80
"YPL176C",128,78,41,22
"YPL174C",59,27,10,6
"YPL172C",53,18,10,9
"YPL169C",255,237,43,52
"YPL164C",58,42,15,32
"YPL163C",900,697,286,155
"YPL159C",63,48,25,32
"YPL158C",315,98,58,67
"YPL156C",110,29,24,16
"YPL154C",1224,1270,481,408
"YPL151C",128,34,16,19
"YPL148C",74,33,12,5
"YPL146C",210,64,26,14
"YPL141C",148,77,34,21
"YPL140C",112,76,33,29
"YPL139C",91,51,20,17
"YPL138C",157,50,15,6
"YPL137C",177,112,38,38
"YPL134C",100,100,33,25
"YPL133C",77,18,10,5
"YPL128C",105,33,18,14
"YPL127C",315,251,80,27
"YPL123C",33,31,21,12
"YPL122C",177,78,7,7
"YPL117C",583,538,201,101
"YPL115C",84,50,23,32
"YPL112C",219,190,54,31
"YPL110C",114,56,29,17
"YPL109C",28,26,11,9
"YPL106C",4754,4699,2162,1678
"YPL105C",573,313,150,195
"YPL099C",60,34,7,2
"YPL098C",343,235,94,30
"YPL096C-A",263,135,42,24
"YPL095C",62,51,20,17
"YPL094C",609,397,81,14
"YPL090C",2032,2151,712,375
"YPL089C",93,35,25,41
"YPL086C",284,210,45,17
"YPL083C",127,59,15,10
"YPL082C",185,126,46,40
"YPL078C",459,297,143,109
"YPL069C",108,55,16,21
"YPL068C",199,83,26,31
"YPL067C",135,94,33,21
"YPL064C",74,36,11,5
"YPL058C",57,34,22,39
"YPL056C",71,46,32,24
"YPL055C",123,42,23,17
"YPL053C",332,168,36,26
"YPL050C",530,225,71,60
"YPL049C",318,202,51,54
"YPL042C",119,75,19,26
"YPL041C",56,48,20,17
"YPL040C",119,60,22,27
"YPL037C",3030,2525,1188,697
"YPL032C",180,70,32,23
"YPL031C",504,333,58,20
